+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                                                      ;
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                                                  ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; i_design_top|i_eu_top|i_layernorm_wrapper|blk_instantiate_layernorm[3].i_layernorm|i_count_down                                                                                            ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_design_top|i_eu_top|i_layernorm_wrapper|blk_instantiate_layernorm[3].i_layernorm|i_sat_y                                                                                                 ; 9     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_design_top|i_eu_top|i_layernorm_wrapper|blk_instantiate_layernorm[3].i_layernorm|i_gamma_path|i_sat_y1                                                                                   ; 16    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_design_top|i_eu_top|i_layernorm_wrapper|blk_instantiate_layernorm[3].i_layernorm|i_gamma_path|i_y_fp_to_int|fp16_to_int16_inst|expXIsMax_uid12_fpToFxPTest_delay                         ; 4     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_design_top|i_eu_top|i_layernorm_wrapper|blk_instantiate_layernorm[3].i_layernorm|i_gamma_path|i_y_fp_to_int|fp16_to_int16_inst|redist1_frac_x_uid10_fpToFxPTest_b_1                      ; 13    ; 1              ; 0            ; 1              ; 10     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_design_top|i_eu_top|i_layernorm_wrapper|blk_instantiate_layernorm[3].i_layernorm|i_gamma_path|i_y_fp_to_int|fp16_to_int16_inst|excZ_x_uid11_fpToFxPTest_delay                            ; 4     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_design_top|i_eu_top|i_layernorm_wrapper|blk_instantiate_layernorm[3].i_layernorm|i_gamma_path|i_y_fp_to_int|fp16_to_int16_inst|redist0_signX_uid25_fpToFxPTest_b_1                       ; 4     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_design_top|i_eu_top|i_layernorm_wrapper|blk_instantiate_layernorm[3].i_layernorm|i_gamma_path|i_y_fp_to_int|fp16_to_int16_inst                                                           ; 18    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_design_top|i_eu_top|i_layernorm_wrapper|blk_instantiate_layernorm[3].i_layernorm|i_gamma_path|i_y_fp_to_int                                                                              ; 18    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_design_top|i_eu_top|i_layernorm_wrapper|blk_instantiate_layernorm[3].i_layernorm|i_gamma_path|i_mult2|mult_fp16_inst|prodXY_uid94_prod_uid47_fpMulTest_cma_delay                         ; 25    ; 10             ; 2            ; 10             ; 22     ; 10              ; 10            ; 10              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_design_top|i_eu_top|i_layernorm_wrapper|blk_instantiate_layernorm[3].i_layernorm|i_gamma_path|i_mult2|mult_fp16_inst|redist0_signR_uid48_fpMulTest_q_2                                   ; 4     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_design_top|i_eu_top|i_layernorm_wrapper|blk_instantiate_layernorm[3].i_layernorm|i_gamma_path|i_mult2|mult_fp16_inst|signR_uid48_fpMulTest_delay                                         ; 4     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_design_top|i_eu_top|i_layernorm_wrapper|blk_instantiate_layernorm[3].i_layernorm|i_gamma_path|i_mult2|mult_fp16_inst|redist1_fracXIsZero_uid31_fpMulTest_q_2                             ; 4     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_design_top|i_eu_top|i_layernorm_wrapper|blk_instantiate_layernorm[3].i_layernorm|i_gamma_path|i_mult2|mult_fp16_inst|fracXIsZero_uid31_fpMulTest_delay                                   ; 4     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_design_top|i_eu_top|i_layernorm_wrapper|blk_instantiate_layernorm[3].i_layernorm|i_gamma_path|i_mult2|mult_fp16_inst|redist3_expY_uid7_fpMulTest_b_2                                     ; 8     ; 1              ; 0            ; 1              ; 5      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_design_top|i_eu_top|i_layernorm_wrapper|blk_instantiate_layernorm[3].i_layernorm|i_gamma_path|i_mult2|mult_fp16_inst|redist4_expX_uid6_fpMulTest_b_2                                     ; 8     ; 1              ; 0            ; 1              ; 5      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_design_top|i_eu_top|i_layernorm_wrapper|blk_instantiate_layernorm[3].i_layernorm|i_gamma_path|i_mult2|mult_fp16_inst|redist2_fracXIsZero_uid17_fpMulTest_q_2                             ; 4     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_design_top|i_eu_top|i_layernorm_wrapper|blk_instantiate_layernorm[3].i_layernorm|i_gamma_path|i_mult2|mult_fp16_inst|fracXIsZero_uid17_fpMulTest_delay                                   ; 4     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_design_top|i_eu_top|i_layernorm_wrapper|blk_instantiate_layernorm[3].i_layernorm|i_gamma_path|i_mult2|mult_fp16_inst                                                                     ; 34    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_design_top|i_eu_top|i_layernorm_wrapper|blk_instantiate_layernorm[3].i_layernorm|i_gamma_path|i_mult2                                                                                    ; 34    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_design_top|i_eu_top|i_layernorm_wrapper|blk_instantiate_layernorm[3].i_layernorm|i_gamma_path|i_xd_int_to_fp|int16_to_fp16_inst|redist0_vCount_uid63_lzcShifterZ1_uid10_fxpToFPTest_q_1  ; 4     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_design_top|i_eu_top|i_layernorm_wrapper|blk_instantiate_layernorm[3].i_layernorm|i_gamma_path|i_xd_int_to_fp|int16_to_fp16_inst|redist1_vCount_uid56_lzcShifterZ1_uid10_fxpToFPTest_q_1  ; 4     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_design_top|i_eu_top|i_layernorm_wrapper|blk_instantiate_layernorm[3].i_layernorm|i_gamma_path|i_xd_int_to_fp|int16_to_fp16_inst|redist2_vCount_uid49_lzcShifterZ1_uid10_fxpToFPTest_q_1  ; 4     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_design_top|i_eu_top|i_layernorm_wrapper|blk_instantiate_layernorm[3].i_layernorm|i_gamma_path|i_xd_int_to_fp|int16_to_fp16_inst|redist3_vCount_uid44_lzcShifterZ1_uid10_fxpToFPTest_q_1  ; 4     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_design_top|i_eu_top|i_layernorm_wrapper|blk_instantiate_layernorm[3].i_layernorm|i_gamma_path|i_xd_int_to_fp|int16_to_fp16_inst|redist4_signX_uid6_fxpToFPTest_b_1                       ; 4     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_design_top|i_eu_top|i_layernorm_wrapper|blk_instantiate_layernorm[3].i_layernorm|i_gamma_path|i_xd_int_to_fp|int16_to_fp16_inst                                                          ; 18    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_design_top|i_eu_top|i_layernorm_wrapper|blk_instantiate_layernorm[3].i_layernorm|i_gamma_path|i_xd_int_to_fp                                                                             ; 18    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_design_top|i_eu_top|i_layernorm_wrapper|blk_instantiate_layernorm[3].i_layernorm|i_gamma_path|i_mult1|mult_fp16_inst|prodXY_uid94_prod_uid47_fpMulTest_cma_delay                         ; 25    ; 10             ; 2            ; 10             ; 22     ; 10              ; 10            ; 10              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_design_top|i_eu_top|i_layernorm_wrapper|blk_instantiate_layernorm[3].i_layernorm|i_gamma_path|i_mult1|mult_fp16_inst|redist0_signR_uid48_fpMulTest_q_2                                   ; 4     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_design_top|i_eu_top|i_layernorm_wrapper|blk_instantiate_layernorm[3].i_layernorm|i_gamma_path|i_mult1|mult_fp16_inst|signR_uid48_fpMulTest_delay                                         ; 4     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; i_design_top|i_eu_top|i_layernorm_wrapper|blk_instantiate_layernorm[3].i_layernorm|i_gamma_path|i_mult1|mult_fp16_inst|redist1_fracXIsZero_uid31_fpMulTest_q_2                             ; 4     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
